threshold,aep,longitude,latitude,hit
0.1000000000,0.0000000020,24.3487600000,12.4280575540,1
0.1000000000,0.0000000040,24.3038500000,12.4730215827,1
0.1000000000,0.0000000040,24.3487600000,12.4730215827,1
0.1000000000,0.0000000020,24.3936800000,12.4730215827,1
0.1000000000,0.0000000020,23.8996000000,12.5179856115,1
0.1000000000,0.0000000020,23.9445200000,12.5179856115,1
0.1000000000,0.0000000020,24.2140100000,12.5179856115,1
0.1000000000,0.0000000120,24.2589300000,12.5179856115,1
0.1000000000,0.0000000080,24.3038500000,12.5179856115,1
0.1000000000,0.0000000060,24.3487600000,12.5179856115,1
0.1000000000,0.0000000020,24.3936800000,12.5179856115,1
0.1000000000,0.0000000020,23.8546900000,12.5629496403,1
0.1000000000,0.0000000040,23.8996000000,12.5629496403,1
0.1000000000,0.0000000040,23.9445200000,12.5629496403,1
0.1000000000,0.0000000040,23.9894300000,12.5629496403,1
0.1000000000,0.0000000020,24.0343500000,12.5629496403,1
0.1000000000,0.0000000020,24.1691000000,12.5629496403,1
0.1000000000,0.0000000060,24.2140100000,12.5629496403,1
0.1000000000,0.0000000160,24.2589300000,12.5629496403,1
0.1000000000,0.0000000160,24.3038500000,12.5629496403,1
0.1000000000,0.0000000100,24.3487600000,12.5629496403,1
0.1000000000,0.0000000040,24.3936800000,12.5629496403,1
0.1000000000,0.0000000020,23.8546900000,12.6079136691,1
0.1000000000,0.0000000040,23.8996000000,12.6079136691,1
0.1000000000,0.0000000040,23.9445200000,12.6079136691,1
0.1000000000,0.0000000040,23.9894300000,12.6079136691,1
0.1000000000,0.0000000060,24.0343500000,12.6079136691,1
0.1000000000,0.0000000060,24.0792700000,12.6079136691,1
0.1000000000,0.0000000040,24.1241800000,12.6079136691,1
0.1000000000,0.0000000020,24.1691000000,12.6079136691,1
0.1000000000,0.0000000060,24.2140100000,12.6079136691,1
0.1000000000,0.0000000260,24.2589300000,12.6079136691,1
0.1000000000,0.0000000200,24.3038500000,12.6079136691,1
0.1000000000,0.0000000180,24.3487600000,12.6079136691,1
0.1000000000,0.0000000060,24.3936800000,12.6079136691,1
0.1000000000,0.0000000040,23.8996000000,12.6528776978,1
0.1000000000,0.0000000040,23.9445200000,12.6528776978,1
0.1000000000,0.0000000040,23.9894300000,12.6528776978,1
0.1000000000,0.0000000080,24.0343500000,12.6528776978,1
0.1000000000,0.0000000080,24.0792700000,12.6528776978,1
0.1000000000,0.0000000080,24.1241800000,12.6528776978,1
0.1000000000,0.0000000140,24.1691000000,12.6528776978,1
0.1000000000,0.0000000240,24.2140100000,12.6528776978,1
0.1000000000,0.0000000320,24.2589300000,12.6528776978,1
0.1000000000,0.0000000340,24.3038500000,12.6528776978,1
0.1000000000,0.0000000280,24.3487600000,12.6528776978,1
0.1000000000,0.0000000100,24.3936800000,12.6528776978,1
0.1000000000,0.0000000060,24.4385900000,12.6528776978,1
0.1000000000,0.0000000020,24.4835100000,12.6528776978,1
0.1000000000,0.0000000020,23.8996000000,12.6978417266,1
0.1000000000,0.0000000040,23.9445200000,12.6978417266,1
0.1000000000,0.0000000060,23.9894300000,12.6978417266,1
0.1000000000,0.0000000120,24.0343500000,12.6978417266,1
0.1000000000,0.0000000140,24.0792700000,12.6978417266,1
0.1000000000,0.0000000160,24.1241800000,12.6978417266,1
0.1000000000,0.0000000280,24.1691000000,12.6978417266,1
0.1000000000,0.0000000500,24.2140100000,12.6978417266,1
0.1000000000,0.0000000600,24.2589300000,12.6978417266,1
0.1000000000,0.0000000620,24.3038500000,12.6978417266,1
0.1000000000,0.0000000520,24.3487600000,12.6978417266,1
0.1000000000,0.0000000300,24.3936800000,12.6978417266,1
0.1000000000,0.0000000060,24.4385900000,12.6978417266,1
0.1000000000,0.0000000060,24.4835100000,12.6978417266,1
0.1000000000,0.0000000060,24.5284200000,12.6978417266,1
0.1000000000,0.0000000040,24.5733400000,12.6978417266,1
0.1000000000,0.0000000040,24.6182600000,12.6978417266,1
0.1000000000,0.0000000040,24.6631700000,12.6978417266,1
0.1000000000,0.0000000040,24.7080900000,12.6978417266,1
0.1000000000,0.0000000100,23.9445200000,12.7428057554,1
0.1000000000,0.0000000140,23.9894300000,12.7428057554,1
0.1000000000,0.0000000220,24.0343500000,12.7428057554,1
0.1000000000,0.0000000300,24.0792700000,12.7428057554,1
0.1000000000,0.0000000340,24.1241800000,12.7428057554,1
0.1000000000,0.0000000560,24.1691000000,12.7428057554,1
0.1000000000,0.0000000780,24.2140100000,12.7428057554,1
0.1000000000,0.0000001240,24.2589300000,12.7428057554,1
0.1000000000,0.0000000940,24.3038500000,12.7428057554,1
0.1000000000,0.0000000940,24.3487600000,12.7428057554,1
0.1000000000,0.0000000740,24.3936800000,12.7428057554,1
0.1000000000,0.0000000520,24.4385900000,12.7428057554,1
0.1000000000,0.0000000360,24.4835100000,12.7428057554,1
0.1000000000,0.0000000220,24.5284200000,12.7428057554,1
0.1000000000,0.0000000140,24.5733400000,12.7428057554,1
0.1000000000,0.0000000120,24.6182600000,12.7428057554,1
0.1000000000,0.0000000120,24.6631700000,12.7428057554,1
0.1000000000,0.0000000120,24.7080900000,12.7428057554,1
0.1000000000,0.0000000040,24.7530000000,12.7428057554,1
0.1000000000,0.0000000040,23.8996000000,12.7877697842,1
0.1000000000,0.0000000100,23.9445200000,12.7877697842,1
0.1000000000,0.0000000200,23.9894300000,12.7877697842,1
0.1000000000,0.0000000400,24.0343500000,12.7877697842,1
0.1000000000,0.0000000460,24.0792700000,12.7877697842,1
0.1000000000,0.0000000560,24.1241800000,12.7877697842,1
0.1000000000,0.0000000760,24.1691000000,12.7877697842,1
0.1000000000,0.0000001420,24.2140100000,12.7877697842,1
0.1000000000,0.0000001820,24.2589300000,12.7877697842,1
0.1000000000,0.0000001700,24.3038500000,12.7877697842,1
0.1000000000,0.0000001600,24.3487600000,12.7877697842,1
0.1000000000,0.0000001120,24.3936800000,12.7877697842,1
0.1000000000,0.0000000920,24.4385900000,12.7877697842,1
0.1000000000,0.0000000600,24.4835100000,12.7877697842,1
0.1000000000,0.0000000520,24.5284200000,12.7877697842,1
0.1000000000,0.0000000320,24.5733400000,12.7877697842,1
0.1000000000,0.0000000220,24.6182600000,12.7877697842,1
0.1000000000,0.0000000140,24.6631700000,12.7877697842,1
0.1000000000,0.0000000120,24.7080900000,12.7877697842,1
0.1000000000,0.0000000060,24.7530000000,12.7877697842,1
0.1000000000,0.0000000020,23.8546900000,12.8327338129,1
0.1000000000,0.0000000040,23.8996000000,12.8327338129,1
0.1000000000,0.0000000120,23.9445200000,12.8327338129,1
0.1000000000,0.0000000220,23.9894300000,12.8327338129,1
0.1000000000,0.0000000560,24.0343500000,12.8327338129,1
0.1000000000,0.0000000680,24.0792700000,12.8327338129,1
0.1000000000,0.0000001040,24.1241800000,12.8327338129,1
0.1000000000,0.0000001560,24.1691000000,12.8327338129,1
0.1000000000,0.0000002280,24.2140100000,12.8327338129,1
0.1000000000,0.0000003140,24.2589300000,12.8327338129,1
0.1000000000,0.0000003100,24.3038500000,12.8327338129,1
0.1000000000,0.0000002960,24.3487600000,12.8327338129,1
0.1000000000,0.0000002240,24.3936800000,12.8327338129,1
0.1000000000,0.0000001780,24.4385900000,12.8327338129,1
0.1000000000,0.0000001440,24.4835100000,12.8327338129,1
0.1000000000,0.0000001080,24.5284200000,12.8327338129,1
0.1000000000,0.0000000620,24.5733400000,12.8327338129,1
0.1000000000,0.0000000380,24.6182600000,12.8327338129,1
0.1000000000,0.0000000180,24.6631700000,12.8327338129,1
0.1000000000,0.0000000140,24.7080900000,12.8327338129,1
0.1000000000,0.0000000060,24.7530000000,12.8327338129,1
0.1000000000,0.0000000020,24.7979200000,12.8327338129,1
0.1000000000,0.0000000020,24.8428300000,12.8327338129,1
0.1000000000,0.0000000020,24.8877500000,12.8327338129,1
0.1000000000,0.0000000020,23.8097700000,12.8776978417,1
0.1000000000,0.0000000020,23.8546900000,12.8776978417,1
0.1000000000,0.0000000140,23.8996000000,12.8776978417,1
0.1000000000,0.0000000380,23.9445200000,12.8776978417,1
0.1000000000,0.0000000680,23.9894300000,12.8776978417,1
0.1000000000,0.0000001160,24.0343500000,12.8776978417,1
0.1000000000,0.0000001620,24.0792700000,12.8776978417,1
0.1000000000,0.0000002380,24.1241800000,12.8776978417,1
0.1000000000,0.0000003600,24.1691000000,12.8776978417,1
0.1000000000,0.0000005180,24.2140100000,12.8776978417,1
0.1000000000,0.0000006460,24.2589300000,12.8776978417,1
0.1000000000,0.0000006620,24.3038500000,12.8776978417,1
0.1000000000,0.0000006120,24.3487600000,12.8776978417,1
0.1000000000,0.0000004780,24.3936800000,12.8776978417,1
0.1000000000,0.0000003800,24.4385900000,12.8776978417,1
0.1000000000,0.0000003060,24.4835100000,12.8776978417,1
0.1000000000,0.0000002340,24.5284200000,12.8776978417,1
0.1000000000,0.0000001720,24.5733400000,12.8776978417,1
0.1000000000,0.0000001020,24.6182600000,12.8776978417,1
0.1000000000,0.0000000560,24.6631700000,12.8776978417,1
0.1000000000,0.0000000220,24.7080900000,12.8776978417,1
0.1000000000,0.0000000100,24.7530000000,12.8776978417,1
0.1000000000,0.0000000040,24.7979200000,12.8776978417,1
0.1000000000,0.0000000020,24.8428300000,12.8776978417,1
0.1000000000,0.0000000020,24.8877500000,12.8776978417,1
0.1000000000,0.0000000060,23.7648600000,12.9226618705,1
0.1000000000,0.0000000080,23.8097700000,12.9226618705,1
0.1000000000,0.0000000180,23.8546900000,12.9226618705,1
0.1000000000,0.0000000420,23.8996000000,12.9226618705,1
0.1000000000,0.0000000660,23.9445200000,12.9226618705,1
0.1000000000,0.0000001020,23.9894300000,12.9226618705,1
0.1000000000,0.0000001640,24.0343500000,12.9226618705,1
0.1000000000,0.0000002900,24.0792700000,12.9226618705,1
0.1000000000,0.0000004240,24.1241800000,12.9226618705,1
0.1000000000,0.0000006680,24.1691000000,12.9226618705,1
0.1000000000,0.0000010680,24.2140100000,12.9226618705,1
0.1000000000,0.0000015780,24.2589300000,12.9226618705,1
0.1000000000,0.0000014840,24.3038500000,12.9226618705,1
0.1000000000,0.0000011960,24.3487600000,12.9226618705,1
0.1000000000,0.0000008660,24.3936800000,12.9226618705,1
0.1000000000,0.0000006400,24.4385900000,12.9226618705,1
0.1000000000,0.0000004860,24.4835100000,12.9226618705,1
0.1000000000,0.0000003580,24.5284200000,12.9226618705,1
0.1000000000,0.0000002560,24.5733400000,12.9226618705,1
0.1000000000,0.0000001640,24.6182600000,12.9226618705,1
0.1000000000,0.0000000860,24.6631700000,12.9226618705,1
0.1000000000,0.0000000500,24.7080900000,12.9226618705,1
0.1000000000,0.0000000300,24.7530000000,12.9226618705,1
0.1000000000,0.0000000160,24.7979200000,12.9226618705,1
0.1000000000,0.0000000020,24.8428300000,12.9226618705,1
0.1000000000,0.0000000020,24.8877500000,12.9226618705,1
0.1000000000,0.0000000020,23.7199400000,12.9676258993,1
0.1000000000,0.0000000080,23.7648600000,12.9676258993,1
0.1000000000,0.0000000160,23.8097700000,12.9676258993,1
0.1000000000,0.0000000300,23.8546900000,12.9676258993,1
0.1000000000,0.0000000440,23.8996000000,12.9676258993,1
0.1000000000,0.0000000800,23.9445200000,12.9676258993,1
0.1000000000,0.0000001300,23.9894300000,12.9676258993,1
0.1000000000,0.0000002100,24.0343500000,12.9676258993,1
0.1000000000,0.0000003140,24.0792700000,12.9676258993,1
0.1000000000,0.0000005080,24.1241800000,12.9676258993,1
0.1000000000,0.0000008020,24.1691000000,12.9676258993,1
0.1000000000,0.0000014260,24.2140100000,12.9676258993,1
0.1000000000,0.0000020120,24.2589300000,12.9676258993,1
0.1000000000,0.0000018760,24.3038500000,12.9676258993,1
0.1000000000,0.0000013740,24.3487600000,12.9676258993,1
0.1000000000,0.0000010400,24.3936800000,12.9676258993,1
0.1000000000,0.0000007940,24.4385900000,12.9676258993,1
0.1000000000,0.0000005740,24.4835100000,12.9676258993,1
0.1000000000,0.0000003800,24.5284200000,12.9676258993,1
0.1000000000,0.0000002680,24.5733400000,12.9676258993,1
0.1000000000,0.0000001620,24.6182600000,12.9676258993,1
0.1000000000,0.0000000960,24.6631700000,12.9676258993,1
0.1000000000,0.0000000640,24.7080900000,12.9676258993,1
0.1000000000,0.0000000300,24.7530000000,12.9676258993,1
0.1000000000,0.0000000180,24.7979200000,12.9676258993,1
0.1000000000,0.0000000100,24.8428300000,12.9676258993,1
0.1000000000,0.0000000080,24.8877500000,12.9676258993,1
0.1000000000,0.0000000020,24.9326700000,12.9676258993,1
0.1000000000,0.0000000020,23.7199400000,13.0125899281,1
0.1000000000,0.0000000080,23.7648600000,13.0125899281,1
0.1000000000,0.0000000120,23.8097700000,13.0125899281,1
0.1000000000,0.0000000260,23.8546900000,13.0125899281,1
0.1000000000,0.0000000400,23.8996000000,13.0125899281,1
0.1000000000,0.0000000740,23.9445200000,13.0125899281,1
0.1000000000,0.0000001260,23.9894300000,13.0125899281,1
0.1000000000,0.0000002000,24.0343500000,13.0125899281,1
0.1000000000,0.0000002800,24.0792700000,13.0125899281,1
0.1000000000,0.0000004100,24.1241800000,13.0125899281,1
0.1000000000,0.0000006120,24.1691000000,13.0125899281,1
0.1000000000,0.0000009480,24.2140100000,13.0125899281,1
0.1000000000,0.0000014020,24.2589300000,13.0125899281,1
0.1000000000,0.0000013860,24.3038500000,13.0125899281,1
0.1000000000,0.0000011160,24.3487600000,13.0125899281,1
0.1000000000,0.0000008600,24.3936800000,13.0125899281,1
0.1000000000,0.0000006580,24.4385900000,13.0125899281,1
0.1000000000,0.0000004700,24.4835100000,13.0125899281,1
0.1000000000,0.0000003260,24.5284200000,13.0125899281,1
0.1000000000,0.0000001880,24.5733400000,13.0125899281,1
0.1000000000,0.0000001260,24.6182600000,13.0125899281,1
0.1000000000,0.0000000740,24.6631700000,13.0125899281,1
0.1000000000,0.0000000520,24.7080900000,13.0125899281,1
0.1000000000,0.0000000300,24.7530000000,13.0125899281,1
0.1000000000,0.0000000180,24.7979200000,13.0125899281,1
0.1000000000,0.0000000120,24.8428300000,13.0125899281,1
0.1000000000,0.0000000020,24.8877500000,13.0125899281,1
0.1000000000,0.0000000020,23.7199400000,13.0575539568,1
0.1000000000,0.0000000020,23.7648600000,13.0575539568,1
0.1000000000,0.0000000040,23.8097700000,13.0575539568,1
0.1000000000,0.0000000140,23.8546900000,13.0575539568,1
0.1000000000,0.0000000260,23.8996000000,13.0575539568,1
0.1000000000,0.0000000540,23.9445200000,13.0575539568,1
0.1000000000,0.0000000800,23.9894300000,13.0575539568,1
0.1000000000,0.0000001400,24.0343500000,13.0575539568,1
0.1000000000,0.0000002060,24.0792700000,13.0575539568,1
0.1000000000,0.0000002760,24.1241800000,13.0575539568,1
0.1000000000,0.0000003980,24.1691000000,13.0575539568,1
0.1000000000,0.0000004760,24.2140100000,13.0575539568,1
0.1000000000,0.0000005400,24.2589300000,13.0575539568,1
0.1000000000,0.0000006020,24.3038500000,13.0575539568,1
0.1000000000,0.0000005180,24.3487600000,13.0575539568,1
0.1000000000,0.0000004340,24.3936800000,13.0575539568,1
0.1000000000,0.0000003640,24.4385900000,13.0575539568,1
0.1000000000,0.0000002660,24.4835100000,13.0575539568,1
0.1000000000,0.0000002060,24.5284200000,13.0575539568,1
0.1000000000,0.0000001300,24.5733400000,13.0575539568,1
0.1000000000,0.0000000880,24.6182600000,13.0575539568,1
0.1000000000,0.0000000580,24.6631700000,13.0575539568,1
0.1000000000,0.0000000360,24.7080900000,13.0575539568,1
0.1000000000,0.0000000220,24.7530000000,13.0575539568,1
0.1000000000,0.0000000140,24.7979200000,13.0575539568,1
0.1000000000,0.0000000060,24.8428300000,13.0575539568,1
0.1000000000,0.0000000040,24.8877500000,13.0575539568,1
0.1000000000,0.0000000040,24.9326700000,13.0575539568,1
0.1000000000,0.0000000020,23.8097700000,13.1025179856,1
0.1000000000,0.0000000060,23.8546900000,13.1025179856,1
0.1000000000,0.0000000060,23.8996000000,13.1025179856,1
0.1000000000,0.0000000200,23.9445200000,13.1025179856,1
0.1000000000,0.0000000320,23.9894300000,13.1025179856,1
0.1000000000,0.0000000640,24.0343500000,13.1025179856,1
0.1000000000,0.0000000880,24.0792700000,13.1025179856,1
0.1000000000,0.0000001200,24.1241800000,13.1025179856,1
0.1000000000,0.0000001600,24.1691000000,13.1025179856,1
0.1000000000,0.0000002040,24.2140100000,13.1025179856,1
0.1000000000,0.0000001980,24.2589300000,13.1025179856,1
0.1000000000,0.0000001880,24.3038500000,13.1025179856,1
0.1000000000,0.0000001780,24.3487600000,13.1025179856,1
0.1000000000,0.0000001820,24.3936800000,13.1025179856,1
0.1000000000,0.0000001680,24.4385900000,13.1025179856,1
0.1000000000,0.0000001480,24.4835100000,13.1025179856,1
0.1000000000,0.0000001160,24.5284200000,13.1025179856,1
0.1000000000,0.0000000840,24.5733400000,13.1025179856,1
0.1000000000,0.0000000480,24.6182600000,13.1025179856,1
0.1000000000,0.0000000360,24.6631700000,13.1025179856,1
0.1000000000,0.0000000240,24.7080900000,13.1025179856,1
0.1000000000,0.0000000180,24.7530000000,13.1025179856,1
0.1000000000,0.0000000100,24.7979200000,13.1025179856,1
0.1000000000,0.0000000080,24.8428300000,13.1025179856,1
0.1000000000,0.0000000040,24.8877500000,13.1025179856,1
0.1000000000,0.0000000040,24.9326700000,13.1025179856,1
0.1000000000,0.0000000040,24.9775800000,13.1025179856,1
0.1000000000,0.0000000020,25.0225000000,13.1025179856,1
0.1000000000,0.0000000020,23.8996000000,13.1474820144,1
0.1000000000,0.0000000060,23.9445200000,13.1474820144,1
0.1000000000,0.0000000140,23.9894300000,13.1474820144,1
0.1000000000,0.0000000160,24.0343500000,13.1474820144,1
0.1000000000,0.0000000240,24.0792700000,13.1474820144,1
0.1000000000,0.0000000360,24.1241800000,13.1474820144,1
0.1000000000,0.0000000280,24.1691000000,13.1474820144,1
0.1000000000,0.0000000420,24.2140100000,13.1474820144,1
0.1000000000,0.0000000540,24.2589300000,13.1474820144,1
0.1000000000,0.0000000700,24.3038500000,13.1474820144,1
0.1000000000,0.0000000700,24.3487600000,13.1474820144,1
0.1000000000,0.0000000560,24.3936800000,13.1474820144,1
0.1000000000,0.0000000540,24.4385900000,13.1474820144,1
0.1000000000,0.0000000560,24.4835100000,13.1474820144,1
0.1000000000,0.0000000520,24.5284200000,13.1474820144,1
0.1000000000,0.0000000400,24.5733400000,13.1474820144,1
0.1000000000,0.0000000220,24.6182600000,13.1474820144,1
0.1000000000,0.0000000140,24.6631700000,13.1474820144,1
0.1000000000,0.0000000140,24.7080900000,13.1474820144,1
0.1000000000,0.0000000120,24.7530000000,13.1474820144,1
0.1000000000,0.0000000080,24.7979200000,13.1474820144,1
0.1000000000,0.0000000080,24.8428300000,13.1474820144,1
0.1000000000,0.0000000080,24.8877500000,13.1474820144,1
0.1000000000,0.0000000040,24.9326700000,13.1474820144,1
0.1000000000,0.0000000040,24.9775800000,13.1474820144,1
0.1000000000,0.0000000020,25.0225000000,13.1474820144,1
0.1000000000,0.0000000020,23.9894300000,13.1924460432,1
0.1000000000,0.0000000040,24.0343500000,13.1924460432,1
0.1000000000,0.0000000080,24.0792700000,13.1924460432,1
0.1000000000,0.0000000100,24.1241800000,13.1924460432,1
0.1000000000,0.0000000120,24.1691000000,13.1924460432,1
0.1000000000,0.0000000120,24.2140100000,13.1924460432,1
0.1000000000,0.0000000080,24.2589300000,13.1924460432,1
0.1000000000,0.0000000100,24.3487600000,13.1924460432,1
0.1000000000,0.0000000140,24.3936800000,13.1924460432,1
0.1000000000,0.0000000180,24.4385900000,13.1924460432,1
0.1000000000,0.0000000200,24.4835100000,13.1924460432,1
0.1000000000,0.0000000200,24.5284200000,13.1924460432,1
0.1000000000,0.0000000180,24.5733400000,13.1924460432,1
0.1000000000,0.0000000100,24.6182600000,13.1924460432,1
0.1000000000,0.0000000080,24.6631700000,13.1924460432,1
0.1000000000,0.0000000040,24.7080900000,13.1924460432,1
0.1000000000,0.0000000040,24.7530000000,13.1924460432,1
0.1000000000,0.0000000040,24.7979200000,13.1924460432,1
0.1000000000,0.0000000040,24.8428300000,13.1924460432,1
0.1000000000,0.0000000040,24.8877500000,13.1924460432,1
0.1000000000,0.0000000020,24.1241800000,13.2374100719,1
0.1000000000,0.0000000040,24.1691000000,13.2374100719,1
0.1000000000,0.0000000040,24.2140100000,13.2374100719,1
0.1000000000,0.0000000080,24.3936800000,13.2374100719,1
0.1000000000,0.0000000100,24.4385900000,13.2374100719,1
0.1000000000,0.0000000120,24.4835100000,13.2374100719,1
0.1000000000,0.0000000120,24.5284200000,13.2374100719,1
0.1000000000,0.0000000120,24.5733400000,13.2374100719,1
0.1000000000,0.0000000100,24.6182600000,13.2374100719,1
0.1000000000,0.0000000080,24.4835100000,13.2823741007,1
0.1000000000,0.0000000080,24.5284200000,13.2823741007,1
0.1000000000,0.0000000100,24.5733400000,13.2823741007,1
0.1000000000,0.0000000060,24.6182600000,13.2823741007,1
0.1000000000,0.0000000020,24.5733400000,13.3273381295,1
0.1000000000,0.0000000709,26.3699700000,14.9010791367,1
0.1000000000,0.0000001418,26.4148900000,14.9010791367,1
0.1000000000,0.0000000354,26.4598000000,14.9010791367,1
0.1000000000,0.0000000354,26.5945500000,14.9010791367,1
0.1000000000,0.0000000709,26.6394600000,14.9010791367,1
0.1000000000,0.0000001063,26.6843800000,14.9010791367,1
0.1000000000,0.0000000709,26.7293000000,14.9010791367,1
0.1000000000,0.0000000354,26.3250500000,14.9460431655,1
0.1000000000,0.0000001772,26.3699700000,14.9460431655,1
0.1000000000,0.0000002126,26.4148900000,14.9460431655,1
0.1000000000,0.0000001772,26.4598000000,14.9460431655,1
0.1000000000,0.0000001418,26.5047200000,14.9460431655,1
0.1000000000,0.0000001063,26.5496300000,14.9460431655,1
0.1000000000,0.0000002481,26.5945500000,14.9460431655,1
0.1000000000,0.0000002481,26.6394600000,14.9460431655,1
0.1000000000,0.0000001418,26.6843800000,14.9460431655,1
0.1000000000,0.0000001418,26.7293000000,14.9460431655,1
0.1000000000,0.0000000354,26.7742100000,14.9460431655,1
0.1000000000,0.0000001772,26.3250500000,14.9910071942,1
0.1000000000,0.0000002835,26.3699700000,14.9910071942,1
0.1000000000,0.0000002835,26.4148900000,14.9910071942,1
0.1000000000,0.0000002835,26.4598000000,14.9910071942,1
0.1000000000,0.0000003189,26.5047200000,14.9910071942,1
0.1000000000,0.0000003544,26.5496300000,14.9910071942,1
0.1000000000,0.0000003898,26.5945500000,14.9910071942,1
0.1000000000,0.0000003189,26.6394600000,14.9910071942,1
0.1000000000,0.0000002835,26.6843800000,14.9910071942,1
0.1000000000,0.0000001418,26.7293000000,14.9910071942,1
0.1000000000,0.0000000354,26.7742100000,14.9910071942,1
